criterio,n,selector,detalle,valor_medido,contexto,extra,lectura_automatica,VEREDICTO_HUMANO,nota
1.4.3,4,#skyline > div > ul:nth-of-type(1) > li:nth-of-type(1) > a,Students,13.65:1  (umbral 4.5:1),10pt,"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
1.4.3,5,#skyline > div > ul:nth-of-type(1) > li:nth-of-type(2) > a,Faculty & Staff,13.65:1  (umbral 4.5:1),10pt,"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
1.4.3,6,#skyline > div > ul:nth-of-type(1) > li:nth-of-type(3) > a,Parents,13.65:1  (umbral 4.5:1),10pt,"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
1.4.3,7,#skyline > div > ul:nth-of-type(1) > li:nth-of-type(4) > a,Alumni,13.65:1  (umbral 4.5:1),10pt,"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
1.4.3,8,#skyline > div > ul:nth-of-type(1) > li:nth-of-type(5) > a,Give,13.65:1  (umbral 4.5:1),10pt,"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
1.4.3,9,#skyline > div > ul:nth-of-type(2) > li:nth-of-type(1) > a,Map,13.65:1  (umbral 4.5:1),10pt,"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
1.4.3,10,#skyline > div > ul:nth-of-type(2) > li:nth-of-type(2) > a,Directory,13.65:1  (umbral 4.5:1),10pt,"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
1.4.3,11,#skyline > div > ul:nth-of-type(2) > li:nth-of-type(3) > a,bConnected,13.65:1  (umbral 4.5:1),10pt,"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
1.4.3,12,#skyline > div > ul:nth-of-type(2) > li:nth-of-type(4) > a,News,13.65:1  (umbral 4.5:1),10pt,"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
1.4.3,13,#skyline > div > form > div > label,Search this site,13.65:1  (umbral 4.5:1),11pt,"rgb(255, 255, 255) sobre rgb(0,38,118)",cumple auto,,
1.4.3,14,#main-menu-item-1,About,13.65:1  (umbral 4.5:1),14pt,"rgb(0, 38, 118) sobre rgb(255,255,255)",cumple auto,,
1.4.3,15,#main-menu-item-2,Admissions,13.65:1  (umbral 4.5:1),14pt,"rgb(0, 38, 118) sobre rgb(255,255,255)",cumple auto,,
1.4.3,16,#main-menu-item-3,Academics,13.65:1  (umbral 4.5:1),14pt,"rgb(0, 38, 118) sobre rgb(255,255,255)",cumple auto,,
1.4.3,17,#main-menu-item-4,Research,13.65:1  (umbral 4.5:1),14pt,"rgb(0, 38, 118) sobre rgb(255,255,255)",cumple auto,,
1.4.3,18,#main-menu-item-5,Campus Life,13.65:1  (umbral 4.5:1),14pt,"rgb(0, 38, 118) sobre rgb(255,255,255)",cumple auto,,
1.4.3,19,header > div:nth-of-type(3) > div:nth-of-type(1) > div > span,NO AUDIO,19.93:1  (umbral 4.5:1),12pt,"rgb(255, 255, 255) sobre rgb(1,1,51)",cumple auto,,
1.4.3,20,div:nth-of-type(3) > div:nth-of-type(1) > div > button:nth-of-type(1) > span,View Video Description,19.93:1  (umbral 4.5:1),10pt negrita,"rgb(255, 255, 255) sobre rgb(1,1,51)",cumple auto,,
1.4.3,21,div:nth-of-type(1) > div > button:nth-of-type(2) > span:nth-of-type(2) > span,Pause Video,19.93:1  (umbral 4.5:1),10pt negrita,"rgb(255, 255, 255) sobre rgb(1,1,51)",cumple auto,,
1.4.3,22,#our-research-improves-lives-title,Our research improves lives,15.13:1  (umbral 3:1),48pt negrita [texto grande],"rgb(38, 38, 38) sobre rgb(255,255,255)",cumple auto,,
1.4.3,23,div:nth-of-type(1) > div > div > p > span,UC Berkeley researchers work every day to make discoveries t,15.13:1  (umbral 3:1),19pt [texto grande],"rgb(38, 38, 38) sobre rgb(255,255,255)",cumple auto,,
1.4.3,24,div:nth-of-type(2) > div > div > div:nth-of-type(1) > h2,Research with results,15.13:1  (umbral 3:1),19pt negrita [texto grande],"rgb(38, 38, 38) sobre rgb(255,255,255)",cumple auto,,
1.4.3,25,div > div:nth-of-type(1) > div:nth-of-type(2) > p:nth-of-type(1) > span,The world’s most complex problems find groundbreaking soluti,15.13:1  (umbral 4.5:1),15pt,"rgb(38, 38, 38) sobre rgb(255,255,255)",cumple auto,,
2.4.4,1,body > nav > ul > li:nth-of-type(1) > a,#content,"""Skip to content""",origen: texto | contexto: Skip to content,,REQUIERE JUICIO,,
2.4.4,2,body > nav > ul > li:nth-of-type(3) > a,#main-menu-item-1,"""Skip to main menu""",origen: texto | contexto: Skip to main menu,,REQUIERE JUICIO,,
2.4.4,3,#skyline > div > ul:nth-of-type(1) > li:nth-of-type(1) > a,https://www.berkeley.edu/students/,"""Students""",origen: texto | contexto: Students,,REQUIERE JUICIO,,
2.4.4,4,#skyline > div > ul:nth-of-type(1) > li:nth-of-type(2) > a,https://www.berkeley.edu/faculty-staff/,"""Faculty & Staff""",origen: texto | contexto: Faculty & Staff,,REQUIERE JUICIO,,
2.4.4,5,#skyline > div > ul:nth-of-type(1) > li:nth-of-type(3) > a,https://calparents.berkeley.edu/,"""Parents""",origen: texto | contexto: Parents,,REQUIERE JUICIO,,
2.4.4,6,#skyline > div > ul:nth-of-type(1) > li:nth-of-type(4) > a,https://my.berkeley.edu/,"""Alumni""",origen: texto | contexto: Alumni,,REQUIERE JUICIO,,
2.4.4,7,#skyline > div > ul:nth-of-type(1) > li:nth-of-type(5) > a,https://give.berkeley.edu/,"""Give""",origen: texto | contexto: Give,,REQUIERE JUICIO,,
2.4.4,8,#skyline > div > ul:nth-of-type(2) > li:nth-of-type(1) > a,https://www.berkeley.edu/map/,"""Map""",origen: texto | contexto: Map,,REQUIERE JUICIO,,
2.4.4,9,#skyline > div > ul:nth-of-type(2) > li:nth-of-type(2) > a,https://www.berkeley.edu/directory/,"""Directory""",origen: texto | contexto: Directory,,REQUIERE JUICIO,,
2.4.4,10,#skyline > div > ul:nth-of-type(2) > li:nth-of-type(3) > a,https://bconnected.berkeley.edu/,"""bConnected""",origen: texto | contexto: bConnected,,REQUIERE JUICIO,,
2.4.4,11,#skyline > div > ul:nth-of-type(2) > li:nth-of-type(4) > a,https://news.berkeley.edu/,"""News""",origen: texto | contexto: News,,"SOSPECHOSO (mismo nombre, distinto destino)",,
2.4.4,12,#main-nav-wrap > div > div > h1 > a,https://www.berkeley.edu,"""UC Berkeley home""",origen: alt de imagen,,REQUIERE JUICIO,,
2.4.4,13,div > div:nth-of-type(1) > div:nth-of-type(2) > p:nth-of-type(2) > a,https://www.berkeley.edu/research-impact/,"""Our impacts""",origen: texto | contexto: Our impacts,,REQUIERE JUICIO,,
2.4.4,14,div > div:nth-of-type(2) > div:nth-of-type(2) > p:nth-of-type(2) > a,https://vcresearch.berkeley.edu/,"""Our programs""",origen: texto | contexto: Our programs,,REQUIERE JUICIO,,
2.4.4,15,div > div:nth-of-type(3) > div:nth-of-type(2) > p:nth-of-type(2) > a,https://vcresearch.berkeley.edu/excellence,"""Our rankings""",origen: texto | contexto: Our rankings,,REQUIERE JUICIO,,
2.4.4,16,div > div:nth-of-type(1) > div > p > a:nth-of-type(1),https://news.berkeley.edu/2025/09/22/uc-berkeley-named-top-p,"""U.S. News & World Report""","origen: texto | contexto: According to U.S. News & World Report, Times Higher Education, the Wall Street Journal, Fo",,REQUIERE JUICIO,,
2.4.4,17,div > div:nth-of-type(1) > div > p > a:nth-of-type(2),https://www.timeshighereducation.com/world-university-rankin,"""Times Higher Education""","origen: texto | contexto: According to U.S. News & World Report, Times Higher Education, the Wall Street Journal, Fo",,REQUIERE JUICIO,,
2.4.4,18,div > div:nth-of-type(1) > div > p > a:nth-of-type(3),https://www.wsj.com/rankings/college-rankings/best-colleges-,"""Wall Street Journal""","origen: texto | contexto: According to U.S. News & World Report, Times Higher Education, the Wall Street Journal, Fo",,REQUIERE JUICIO,,
2.4.4,19,div > div:nth-of-type(1) > div > p > a:nth-of-type(4),https://www.forbes.com/top-colleges/,"""Forbes""","origen: texto | contexto: According to U.S. News & World Report, Times Higher Education, the Wall Street Journal, Fo",,REQUIERE JUICIO,,
2.4.4,20,div > div:nth-of-type(2) > div > p > a,https://news.berkeley.edu/2025/04/08/uc-berkeley-graduate-pr,"""U.S. News & World Report.""",origen: texto | contexto: According to U.S. News & World Report.,,REQUIERE JUICIO,,
2.4.4,21,div > div:nth-of-type(3) > div > p > a,https://ipira.berkeley.edu/about/our-impact,"""UC Berkeley research and patents""","origen: texto | contexto: Created from UC Berkeley research and patents, including malaria and cancer treatments, ro",,REQUIERE JUICIO,,
2.4.4,22,div:nth-of-type(4) > div > div > p > a,https://news.berkeley.edu/2025/09/15/no-1-again-uc-berkeley-,"""Learn more""",origen: texto | contexto: Learn more,,REQUIERE JUICIO,,
2.4.4,23,div:nth-of-type(5) > div > div > div:nth-of-type(1) > a,https://news.berkeley.edu/2026/08/13/can-digital-twins-help-,"""Can ‘digital twins’ help California manage its growing flood risk?""",origen: texto | contexto: Can ‘digital twins’ help California manage its growing flood risk?,,REQUIERE JUICIO,,
2.4.4,24,div:nth-of-type(5) > div > div > div:nth-of-type(2) > a,https://gspp.berkeley.edu/research-and-impact/news/study-fin,"""Love and polarization: Politically mismatched couples are more likely """,origen: texto | contexto: Love and polarization: Politically mismatched couples are more likely to break up,,REQUIERE JUICIO,,
2.4.4,25,div:nth-of-type(5) > div > div > div:nth-of-type(3) > a,https://news.berkeley.edu/2026/08/11/why-we-dont-need-more-d,"""Why we don’t need more data centers to build better AI""",origen: texto | contexto: Why we don’t need more data centers to build better AI,,REQUIERE JUICIO,,
